	Platform Information									
	Link to Form									
	Account Required	FALSE								
	Modality	Email	dsacompliance@apple.com							
										
										
id	Question	Type	Classification	MAIN_Question	Operation	Required	Condition	Options	Details	Comments
A1	Your full name	free form	Contact Details	first-name, last-name	join-space	N/A				
A2	Your contact details, including email address	free form	Contact Details	email		N/A				
A3	Confirmation whether you are making this application as an individual researcher or as part of a team of researchers.	free form	Collaboration	collab-binary		N/A				
A4	If you are making this application on behalf of a team of researchers, please provide information requested below for each researcher in the research team	free form	Collaboration	collab-list		N/A				
A5	Information to demonstrate that you are a researcher, including the name and contact details of your employer or company you act on behalf of, or your not-for-profit entity, institution, organisation or association	free form	Affiliation	np-status, commercial-purpose, org-evidence		N/A				
A6	Full details about the research you are undertaking or wish to undertake, for which data is sought	free form	Research Project	research-summary		N/A				
A7	An explanation of the respects in which the research will contribute to the detection, identification and understanding of systemic risks in the EU pursuant to Article 34(1), including by reference to the specific systemic risk which you consider the research will contribute to, and to the assessment of the adequacy, efficiency and impacts of the risk mitigation measures pursuant to Article 35	free form	Research Project	research-sysrisk		N/A				
A8	Full details of the expected duration of the research	free form	Research Project	research-start, research-end	make-duration	N/A				
A9	Information on whether the research will be published and in what forum	free form	Research Project	research-publication		N/A				
A10	A description of the data that is publicly accessible on the App Store interface that you want access to	free form	Requested Data	data-requested		N/A				
A11	The time period you want the data to cover	free form	Requested Data	data-timescope		N/A				
A12	An explanation of why the data and time frames requested are necessary for, and proportionate to, the purposes of the research	free form	Requested Data	data-expl		N/A				
A13	A comprehensive explanation of how the request for data access appropriately protects other relevant rights and legitimate interests, including the protection of personal data, trade secrets, and other confidential information	free form	Data Security	tom-general		N/A				
A14	Confirmation that there is no other intended use of the data outside of this research	free form	Data Security	tom-purposelimit		N/A				
A15	Any commercial interests (such as private companies, partnerships or other businesses in any form whatsoever) in which you are involved in any capacity, including through contractual or other arrangements of employment, engagement, retention or any other association	free form	Funding / Commercial Interests	commercial-purpose		N/A				
A16	Any commercial interests that fund you or your research organisation	free form	Funding / Commercial Interests	funding-sources, np-status		N/A				
A17	the source/s of funding, details regarding the funding model and amounts raised for the research through both direct and indirect sources of funding, including grants, bursaries, commissions, contingency fees, other expected future payments or other funding provided in connection with this research (whether by academic institutions, research institutions, governmental institutions, commercial interests, non-profit entities, philanthropists or otherwise), and the terms on which such funding is granted	free form	Funding / Commercial Interests	funding-sources, commercial-purpose		N/A				
A18	If the funding model comprises a combination of the above, detail the approximate percentages and proportion of each source of funding and identify each such source	free form	Funding / Commercial Interests	funding-sources, commercial-purpose		N/A				
A19	Details of the specific data security and confidentiality arrangements (including appropriate technical and organisational measures) which you have in place, or propose to put in place, in connection with the data to which access is sought. This should include details of which persons will be afforded access to the data you are requesting and on what terms, and how the data you are requesting may be combined with other data	free form	Data Security	tom-general		N/A				
A20	Information and documents to demonstrate that you are capable of fulfilling the specific data security and confidentiality requirements corresponding to each request and which are necessary to protect personal data. You must inform us of the appropriate technical and organisational measures that you have put in place to this end	file upload	Data Security	tom-evidence		N/A				
A21	The duration of time you intend to store the requested data	free form	Data Security	tom-storage-start, tom-storage-end	make-duration	N/A				
A22	How you will ensure the requested data is only used for the research described in this application	free form	Data Security	tom-purposelimit		N/A				
