	Platform Information	https://support.microsoft.com/en-us/topic/bing-qualified-researcher-program-b1c5a4b6-3ad6-4c8c-963d-a395c7766c85								
	Link to Form	https://forms.office.com/Pages/ResponsePage.aspx?id=v4j5cvGGr0GRqy180BHbR_LeIU5Rc-pEi8af8aM27jhUNUwzMUhaSVVNOVBXVjdVSkhaQVhDR1NHMS4u								
	Account Required	FALSE								
	Modality	Form								
										
										
id	Question	Type	Classification	MAIN_Question	Operation	Required	Condition	Options	Details	Comments
B1	Do you plan to conduct your research under Article 40(12) of the Digital Services Act	selection	Research Project	legal-dsa		TRUE		Yes, No		
B2	Research Contact Full Name (Last Name, Full Name)	free form	Contact Details	first-name, last-name	join-space	TRUE				
B3	Email Contact	free form	Contact Details	email		TRUE				
B4	Research Organization Name	free form	Affiliation	org-name		TRUE				
B5	Organization Address	free form	Affiliation	org-addr-street, org-addr-city, org-addr-postcode, org-addr-state	join-comma	TRUE				
B6	Organization Country	free form	Affiliation	org-addr-country		TRUE				
B7	Organization Website	free form	Affiliation	org-website		FALSE				
B8	Link to Your Profile on Organization Website	free form	Affiliation	profile-inst		FALSE				
B9	Link to Your LinkedIn Profile	free form	Contact Details	profile-platform		FALSE				
B10	Job Title	selection	Affiliation	org-role		TRUE		Faculty, Researcher, Student, Staff, Other		
B11	Department	free form	Collaboration	org-department		TRUE			Name and organization of other researchers involved, including links to the profiles on the organization(s) site	
B12	What are the sources of fundings for this research	free form	Funding / Commercial Interests	funding-sources		TRUE				
B13	Have you applied for research access with Bing before	selection	Previous Experience	prev-experience		TRUE		Yes, No		
B14	If yes for the above: please explain the date of request, outcome, and subject of the research.	free form	Previous Experience	prev-experience		FALSE	if B13==Yes			
B15	Are you affiliated to any research institution pursuant to Art. 2(1) of Directive 2019/790?	selection	Affiliation	org-type		FALSE	if B13==Yes	Yes, No		
B16	If yes, which research institution?	free form	Affiliation	org-name		FALSE	if B13==Yes			
B17	Are you an independent researcher that does not depend on commercial interest?	selection	Funding / Commercial Interests	commercial-purpose, first-name, np-status		FALSE	if B13==Yes	Yes, No		
B18	Research Title	free form	Research Project	research-title		TRUE				
B19	Your Research Project	free form	Research Project	research-summary		TRUE			Tell us about your research project. Please provide a detailed project proposal that includes: research problem to be solved, data to be used, project timeline, key milestones, and anticipated outcomes.	
B20	How will your research contribute to the detection, identification and understanding of the systemic risks identified in Article 34(1) of the EU Digital Services Act or otherwise meet the requirements of Article 40(12) of the DSA?	free form	Research Project	research-sysrisk		TRUE				
B21	Duration of requested public data gathering	selection	Requested Data	data-acc-start, data-acc-end	make-duration	TRUE		3 months, 6 months, More		
B22	Do you plan to publish your research	selection	Research Project	research-publication		TRUE		Yes, No		
B23	Does your research have any commercial purpose	selection	Funding / Commercial Interests	commercial-purpose		TRUE		Yes, No		
B24	How long do you expect to store the requested public data	selection	Data Security	tom-storage-start, tom-storage-end	make-duration	TRUE		3 months, 6 months, More		
B25	In which country do you expect to store the requested public data	free form	Data Security	tom-storagelocation		TRUE				
B26	Except for those you identified in response to Question 11, will you provide others access to the requested public data	selection	Collaboration	collab-binary		TRUE		Yes, No	Overflow from B11	
B27	If yes for the above: please identify the persons/category of persons and the purpose?	free form	Collaboration	collab-list		TRUE	if B26 == Yes		Overflow from B11	
B28	Who will be responsible for compliance with GDPR for any personal data included in the requested public data?	free form	Data Security	tom-responsible		TRUE				
