	Platform Information									
	Link to Form	https://requestrecords.google.com/researcher/form								
	Account Required									
	Modality	Form								
										
										
id	Question	Type	Classification	MAIN_Question	Operation	Required	Condition	Options	Details	Comments
G1	Select the Google Service / Platform that you are requesting access for:	selection	Requested Data	data-accmod		TRUE		Maps, Play, Search, Shopping, YouTube, Waze		
G2	Please select the option applicable	selection	?			TRUE		New Research Program Application		
G3	Your Full Legal Name	free form	Contact Details	first-name, last-name	join-space	TRUE			max 200 chars	
G4	Organization Name	free form	Affiliation	org-name		TRUE			max 200 chars	
G5	Type of Organization	selection	Affiliation	org-type		TRUE		Academic Institution, Non-Profit Organization / Charity / NGO, Gocernment Affiliated Research Organization, Independent Research Organization, Other		
G6	Organization Website	free form	Affiliation	org-website		TRUE			max 200 chars	
G7	Organization Address	free form	Affiliation	org-addr-street, org-addr-city, org-addr-postcode, org-addr-state, org-addr-country	join-comma	TRUE			max 200 chars	
G8	Your Institutional / Professional Email Address	free form	Contact Details	email-inst		TRUE			[needs to be verified] If you do not have an institutional email address, please provide proof of your affiliation. Examples include a signed letter or certificate from your institution confirming your association with them.	
G9	Upload supporting evidence here. Please add all the evidence for this question into one consolidated PDF file 	file upload	Affiliation	org-evidence		FALSE			19MB limit	
G10	Organization Country	selection	Affiliation	org-addr-country		TRUE		[EU Countries]		
G11	Job Title	free form	Affiliation	org-role		TRUE			max 200 chars	
G12	Research Title	free form	Research Project	research-title		TRUE				
G13	Research Start Date	date-select	Research Project	research-start		TRUE				
G14	Research End Date	date-select	Research Project	research-end		TRUE				
G15	Expected Publication Date	date-select	Research Project	research-publication		TRUE				
G16	Will you be partnering with any other research or non-research organization?	selection	Collaboration	collab-binary		TRUE		Yes, No		
G17	Please list the partners	free form	Collaboration	collab-list		TRUE	if partners==Yes		only shown if partnering==Yes	
G18	Please provide a research proposal that includes the following information: (a) Research question being studied, (b) Data required, (c) Methodology, (d) Research timeline. You can provide the information through this text box (5000 character maximum) and/or upload a document.	free form	Research Project	data-requested, research-method, research-question, research-timeline	make-report	TRUE			max 5000 chars	
G19	Upload your proposal here. If you have multiple documents for this question, please include them in one consolidated PDF file (19MB limit).	file upload	Research Project	research-docs		FALSE			19MB limit, alternative to research proposal text box	
