	Platform Information			https://www.linkedin.com/help/linkedin/answer/a1645616						
	Link to Form			https://www.linkedin.com/help/linkedin/ask/DSA						
	Account Required			FALSE						
	Modality			Form						
										
										
id	Question	Classification	MAIN_Question	Type	Required	Condition	Options	Details	Comments	Operation
L1	First Name	Contact Details	first-name	free form	TRUE	logged-out				
L2	Last Name	Contact Details	last-name	free form	TRUE	logged-out				
L3	Email	Contact Details	email	free form	TRUE	logged-out				
L4	Do you plan to conduct your research under Article 40(12) of the Digital Services Act?	Research Project	legal-dsa	selection	FALSE		Yes, No			
L5	Full Name	Contact Details	first-name, last-name	free form	FALSE					join-space
L6	Email Contact	Contact Details	email	free form	FALSE					
L7	Organization Name	Affiliation	org-name	free form	FALSE					
L8	Organization Address	Affiliation	org-addr-street, org-addr-city, org-addr-postcode	free form	FALSE					join-comma
L9	Organization Country	Affiliation	org-addr-country	selection	TRUE		[Global Countries]			
L10	Organization Website	Affiliation	org-website	free form	FALSE					
L11	Link to your profile on organization website:	Affiliation	profile-inst	free form	FALSE					
L12	Link to your LinkedIn profile	Contact Details	profile-platform	free form	FALSE					
L13	Job Title	Affiliation	org-role	selection	FALSE		Faculty, Researcher, Student, Staff, Other			
L14	Department	Affiliation	org-department	free form	FALSE					
L15	Name and organization of other researchers involved, including links to the profiles on the organization(s) site	Collaboration	collab-list	free form	FALSE					
L16	Who is funding your research	Funding / Commercial Interests	funding-sources	free form	FALSE					
L17	Have you applied for research access with LinkedIn before	Research Project	prev-experience	selection	FALSE		Yes, No			
L18	Research Title	Research Project	research-title	free form	FALSE					
L19	Tell us about your research project- Please provide a project proposal that includes: research problem to be solved, data to be used, project timeline, key milestones and outcomes.	Research Project	research-title, research-summary, research-question, research-method, research-outcomes, research-timeline, data-requested	free form	FALSE			(250 characters maximum)		make-report
L20	How will your research contribute to the detection, identification and understanding of the systemic risks identified in Article 34(1) of the DSA in the Union or otherwise meet the requirements of Article 40(12) of the DSA	Research Project	research-sysrisk	free form	FALSE			(250 characters maximum)		
L21	Duration of requested public data gathering	Requested Data	data-acc-start, data-acc-end	selection	FALSE		3 Months, 6 Months, More			make-duration
L22	Do you want access to an API	Access Modality	data-accmod	selection	FALSE		Yes, No			
L23	Do you plan to publish your research	Research Project	research-publication	selection	FALSE		Yes, No			
L24	Does your research have any commercial purpose	Funding / Commercial Interests	commercial-purpose	selection	FALSE		Yes, No			
L25	How long do you expect to store the requested public data	Data Security	tom-storage-start, tom-storage-end	selection	FALSE		3 Months, 6 Months, More			make-duration
L26	In which country do you expect to store the requested public data	Data Security	tom-storagelocation	selection	TRUE		[Global Countries]			
L27	Except for those you identified in response to Question 11, will you provide others access to the requested public data	Collaboration	collab-binary	selection	FALSE		Yes, No		overflow from L15	
L28	If yes for the above: Please identify the persons/category of persons and the purpose	Collaboration	collab-list	free form	FALSE				overflow from L15	
L29	What technical and organisational mechanisms will you use to protect the requested public data	Data Security	tom-general	free form	FALSE					
L30	Who will be responsible for compliance with GDPR for any personal data included in the requested public data	Data Security	tom-responsible	free form	FALSE					
