	Platform Information									
	Link to Form	https://help.pinterest.com/en/landing/researchers-intake-form								
	Account Required	FALSE								
	Modality	Form								
										
										
id	Question	Type	Classification	MAIN_Question	Operation	Required	Condition	Options	Details	Comments
P1	Full legal name	free form	Contact Details	first-name, last-name	join-space	TRUE				
P2	Phone	free form	Contact Details	phone		TRUE				
P3	Email	free form	Contact Details	email		TRUE				
P4	Is this a not-for-profit organization, body, or association?	selection	Affiliation	org-type		TRUE		Yes, No		
P5	Name of the organization	free form	Affiliation	org-name		TRUE				
P6	Phone	free form	Affiliation	org-phone		TRUE				
P7	Street address	free form	Affiliation	org-addr-street		TRUE				
P8	City	free form	Affiliation	org-addr-city		TRUE				
P9	Postal code	free form	Affiliation	org-addr-postcode		TRUE				
P10	Country	selection	Affiliation	org-addr-country		TRUE		[Global Countries]		
P11	Street address (where research will be conducted)	free form	Affiliation	org-addr-street		FALSE			if different to above	if research not conducted at org
P12	City (where research will be conducted)	free form	Affiliation	org-addr-city		FALSE			if different to above	if research not conducted at org
P13	Postal code (where research will be conducted)	free form	Affiliation	org-addr-postcode		FALSE			if different to above	if research not conducted at org
P14	Country (where research will be conducted)	selection	Affiliation	org-addr-country		FALSE		[Global Countries]	if different to above	if research not conducted at org
P15	Please share which data set you would like access to and why, including the type of data, the time range and any geographic scope relevant.	free form	Requested Data	data-geoscope, data-requested, data-acc-start, data-acc-end, data-expl	make-data-summary	TRUE				
P16	Are you, your organization, and your research independent from commercial interests? 	selection	Funding / Commercial Interests	commercial-purpose, np-status		TRUE		Yes, No		
P17	Please diclose the sourcing of funding for the research you are conducting.	free form	Funding / Commercial Interests	funding-sources		TRUE				
P18	Will the data you are requesting be used solely for the purpose of performing research that contributes to the detection, identification and understanding of systemic risks in the European Union (as defined in Article 34(1) of the Digital Services Act)?	selection	Research Project			TRUE		Yes, No		
P19	Include additional context on your research topic and project, how access to the requested data is necessary and proportionate to your research, and how your research will contribute to the detection, identification and understanding of systemic risks in the European Union.	free form	Research Project	research-sysrisk, research-title, research-summary	make-report	TRUE				
P20	Data Security, Confidentiality, and Privacy	free form	Data Security	tom-general		TRUE				
