	Platform Information	https://values.snap.com/privacy/transparency/researcher-access								
	Link to Form									
	Account Required	FALSE								
	Modality	Email	DSA-Researcher-Access@snapchat.com							
										
										
id	Question	Type	Classification	MAIN_Question	Operation	Required	Condition	Options	Details	Comments
S1	Your name	free form	Contact Details	first-name, last-name	join-space	N/A				
S2	name of the affiliated research organisation	free form	Affiliation	org-name		N/A				
S3	detailed description of the data you wish to access	free form	Requested Data	data-requested		N/A				
S4	detailed description of the purpose for which you are requesting data	free form	Research Project	research-sysrisk, research-summary	make-report	N/A				
S5	detailed description of the planned research activities and methodology	free form	Research Project	research-question, research-method, research-timeline	make-report	N/A				
S6	Details on the sources of the funding for the research you are conducting	free form	Funding / Commercial Interests	funding-sources		N/A				
S7	Confirmation that your research is for non-commercial purposes	free form	Funding / Commercial Interests	commercial-purpose		N/A				
S8	Details on the timeframe of the requested data	free form	Requested Data	data-acc-start, data-acc-end	make-data-summary	N/A				
