	Platform Information									
	Link to Form	https://support.google.com/youtube/contact/yt_researcher_certification								
	Account Required									
	Modality	Form								
										
										
id	Question	Type	Classification	Required	MAIN_Question	Operation	Condition	Options	Details	Comments
Y1	Please select the option applicable	selection	Previous Experience	TRUE	prev-experience			New Researcher Program Application; Current participant in Researcher Program, Require Additional Quota		
Y2	Your full legal name	free form	Contact Details	TRUE	first-name, last-name	join-space				
Y3	Organization contact email address (Institution email preferred)	free form	Contact Details	TRUE	email-inst					
Y4	Country	selection	Affiliation	TRUE	org-addr-country					
Y5	Organization Name	selection	Affiliation	TRUE	org-name				If your university is not listed, please select the option "Other" and enter it manually	
Y6	Enter your Organization Name	free form	Affiliation	FALSE	org-name		if Y5 == Other			
Y7	Organization Website	free form	Affiliation	TRUE	org-website					
Y8	Organization Address	free form	Affiliation	TRUE	org-addr-street, org-addr-city, org-addr-postcode, org-addr-state, org-addr-country	join-comma				
Y9	Job Title	selection	Affiliation	TRUE	org-role			Faculty, Postdoctoral Researcher, PhD Student, Staff, Other		
Y10	Department Name	free form	Affiliation	FALSE	org-department					
Y11	Link to your profile in your institution's faculty or researcher directory	free form	Affiliation	TRUE	profile-inst					
Y12	Research Title	free form	Research Project	TRUE	research-title					
Y13	Research Start Date	date-select	Research Project	TRUE	research-start				format "MM/DD/YYYY"	
Y14	Research Publication Date	date-select	Research Project	TRUE	research-publication				format "MM/DD/YYYY", Researchers are granted quotas and access to the YouTube’s API systems and data for the period of their research, subject to periodic compliance audits. Quota and access to the program may be revoked following completion of research or publication, whichever is first.	
Y15	Please provide a project proposal that includes: research problem to be solved, YouTube Data to be used, project timeline, key milestones and outcomes, and how YouTube can support your research in the future. Please include a link to your shared Google Doc OR copy and paste text in the field below. (1500 characters maximum)	free form	Research Project	TRUE	research-question, data-requested, research-timeline, research-outcomes, research-summary				max 1500 chars	includes Requested Data
Y16	Field of Research	selection	Research Project	TRUE	research-keywords			Astronomical Sciences, Atmospheric & Geospace Sciences, Behavioural & Cognitive Sciences, Biological Infrastructure, Chemistry, Computer & Information Sciences, Earth Sciences, Economic Sciences, Engineering, Environmental Biology, Genomics, Life Sciences, Medical &amp; Health Sciences, Materials Research, Mathematical Sciences, Molecular Celluar Biosciences, Ocean Sciences, Other, Physics, Social Sciences, Statistics		
Y17	Is your research affiliated or sponsored by government or non-government entity	selection	Funding / Commercial Interests	TRUE	funding-sources			Yes, No		
Y18	Please elaborate on the affiliation or sponsorship	free form	Funding / Commercial Interests	TRUE	funding-sources		if Y17==Yes			
Y19	Please list all the project numbers used for each of your API Client(s)	free form	Technical	TRUE	tech-client				The project number is a series of digits that can be found alongside the Project ID in your Google Cloud Console. Please comma separate the project numbers without additional spaces	
Y20	Is this a publicly or privately available API Client? 	selection	Technical	TRUE	tech-client			Publicly accessible, Internal use only		
Y21	If publicly available, provide a link to the client	free form	Technical	FALSE	tech-client					
Y22	If there is a log-in required to access the API client, please provide a demo account and instructions on how to access the API Client	free form	Technical	FALSE	tech-client				Please include similar data and interface as if a user was using the account.	
Y23	Does your API Client commercialize YouTube Data?	selection	Technical	TRUE	tech-client			Yes, No		
Y24	Does your API Client use multiple projects to access YouTube APIs?	selection	Technical	TRUE	tech-client			Yes, No		
Y25	Please list all project numbers	free form	Technical	TRUE	tech-client		if Y24==Yes 	Yes, No		
Y26	Does this API Client display data from, or provide features or services across, multiple platforms (ex: Facebook, Twitter, etc.)?	selection	Technical	TRUE	tech-client			Yes, No	For example, does this API Client display data obtained from YouTube beside or in conjunction with data from other sources?	
Y27	How long do you store YouTube API Data?	selection	Data Security	TRUE	tom-storage-start, tom-storage-end	make-duration		>12 months, 3 - 12 months, 30 - 90 days, 1 - 4 weeks, 1 - 7 days, 24 hours		
Y28	How often do you refresh YouTube API Data?	selection	Requested Data	TRUE	data-refresh			24 hours, 1 week, 1 month, 1 year<, Never		
Y29	Send documents (e.g., design documents, etc.) relating to your implementation, access, integration and use of YouTube API Services by each of your API Client/If the API Client is not accessible publicly, please upload a detailed screencast of each YouTube API Service functionality and YouTube data, content and information as displayed on, or integrated into, this API Client. * No files chosen	file upload	Technical	TRUE	tech-client				Note : Please upload one file smaller than 10MB. Multiple file uploads and file size greater than 10 MB will result in an error during submission	
Y30	I have read and agree to the YouTube API Services Terms of Service (including the Developer Policies and Google Privacy Policy) and my current and proposed access to, and use of, YouTube API Service(s) does and will comply with the YouTube API Services Terms of Service.	selection	Legal	TRUE	legal-consent			I agree		
Y31	If I provide a demo account and instructions on how Google can access my API Client, I understand and agree that Google is not bound to any terms of service or policies that applies to such account or access to my API Client.	selection	Legal	TRUE	tech-client, legal-consent			I understand		
Y32	I have read and agree to the the Researcher Program Policy & Terms and agree and understand (i) my acceptance by and participation in the YouTube Researcher Program is subject to the Researcher Program Policy & Terms and (ii) my access to, and use of, YouTube API Service(s), including without limitation all data obtained by me through the YouTube API Service(s), does and will comply with the Researcher Program Policy and Terms.	selection	Legal	TRUE	legal-consent			I agree		
Y33	The above facts are true to the best of my knowledge and I understand that should the above facts be found to be untrue, YouTube may terminate my API Client's access to the YouTube API Services as per YouTube's Terms of Service and Developer Policies	selection	Legal	TRUE	legal-consent			I agree		
Y34	Google can ask for feedback about my support experience by email	selection	Legal	FALSE	legal-consent				You may receive an email after the case is closed	
