ORDA_Mapping,Question_EN,Category,Type,Options,Granularity,Shorthand,Comments,Help
,platform,,,,,,,
foaf:person/firstName,First name,Contact Details,free form,,general,first-name,,
foaf:person/lastName,Last name,Contact Details,free form,,general,last-name,,
person/preferredName,Preferred name,Contact Details,free form,,general,pref-name,,
person/personalEmail,Email address,Collaboration,free form,,general,email,,
person/email,Personal email address,Contact Details,free form,,general,email-personal,validate,
person/workEmail,Institutional email address,Contact Details,free form,,general,email-inst,validate,
person -has- PostalAddress/addressCountry,Your country,Contact Details,selection,,general,researcher-addr-country,,
person -has- PostalAddress/addressRegion,Your state or province,Contact Details,free form,,general,researcher-addr-state,,
person -has- PostalAddress/addressCity,Your city,Contact Details,free form,,general,researcher-addr-city,,
,Link to personal profile,Contact Details,free form,,general,profile-personal,,
,Link to profile on <PLATFORM_NAME>,Contact Details,free form,,platform specific,profile-platform,,
foaf:person/workInfoHomepage,Link to institutional profile,Contact Details,free form,,general,profile-inst,,
,Birthday,Contact Details,date-select,,general,birthday,,
,Mobile phone number,Contact Details,free form,,general,phone,validate,
researcher/orcid,ORCID iD,Collaboration,free form,,general,orcid,validate,
,Curriculum vitae,Qualifications,file upload,,general,cv,"CV, area of expertise, past conferences & publications",
,Highest degree,Qualifications,free form,,general,highest degree,,
,Discipline or Area of expertise,Previous Experience,selection,"Business communication; Civic communication; Climate and environment; Computer science; Coordinated inauthentic behavior; Digital culture; Education; Election monitoring; Fact-checking; Hate speech and extremism; Health communication; Journalism, news and media; Marketing; Other; Political communication; Public health; Science communication; Trust and safety",general,discipline-expertise,,
,Evidence of technical experience,Qualifications,free form,,general,technical experience,,
,Evidence of responsible experience or use of sensitive or restricted data,Qualifications,free form,,general,ethics experience,,
,Organisation name,Affiliation,free form,,general,org-name,,
,Organisation phone number,Affiliation,free form,,general,org-phone,,
,Department in organisation,Affiliation,free form,,general,org-department,,
,Institute in Organisation,Affiliation,free form,,general,org-instutute,,
,Type of Organisation,Affiliation,free form,,general,org-type,,
,Organisation's registration number,Affiliation,free form,,general,org-id,,
,Street Address ,Affiliation,free form,,general,org-addr-street,,
,City,Affiliation,free form,,general,org-addr-city,,
,Postcode,Affiliation,free form,,general,org-addr-postcode,,
,State,Affiliation,free form,,general,org-addr-state,,
,Country,Affiliation,free form,,general,org-addr-country,,
,Organisation Website,Affiliation,free form,,general,org-website,,
,Role in the Organisation,Affiliation,free form,,general,org-role,,
,Evidence for Affiliation,Affiliation,file upload,,general,org-evidence,,
,Are you collaborating on this project?,Collaboration,selection,Yes; No,general,collab-binary,,
,Name and organization of other researchers involved,Collaboration,free form,,general,collab-list,,
,Are you the principal researcher in the collaboration?,Collaboration,selection,Yes; No,general,collab-lead,,
,Principial Researcher's first name,Collaboration,free form,,general,collab-lead-firstname,,
,Principial Researcher's last name,Collaboration,free form,,general,collab-lead-lastname,,
,Do you plan to share the data with other third parties?,Collaboration,selection,Yes; No,general,collab-share-binary,,
,Please specify the third party,Collaboration,free form,,general,collab-share,,
,Non-Profit Status,Funding / Commercial Interests,free form,,general,np-status,,
,Independence from commercial interests,Funding / Commercial Interests,selection,Yes; No,general,commercial-purpose,,
,Funding Sources,Funding / Commercial Interests,free form,,general,funding-sources,,
,Title,Research Project,free form,,general,research-title,,
,Keywords,Research Project,multi-select,,general,research-keywords,,
,Summary,Research Project,free form,,general,research-summary,,
,Literature Review,Research Project,free form,,general,research-summary-litreview,,
,Research Questions,Research Project,free form,,general,research-question,,
,Methods,Research Project,free form,,general,research-method,,
,Systemic Risk,Research Project,free form,,general,research-sysrisk,,Make sure that your descriptions directly reference the risk categories in Art. 34(1) DSA.
,Planned Research Outcomes,Research Project,free form,,general,research-outcomes,,
,Citations,Research Project,free form,,general,research-citations,,
,Research Start Date,Research Project,date-select,,general,research-start,before end date,
,Research End Date,Research Project,date-select,,general,research-end,after start date,
,Research Questions,Research Project,free form,,general,research-timeline,,
,How do you plan to publish your research?,Research Project,free form,,general,research-publication,,
,Evidence of ethics approval,Research Project,file upload,,general,research-ethics,,
,Research Proposal,Research Project,file upload,,general,research-docs,,
,Preferred programming software and analysis tools,Technical,selection,,platform specific,tech-preference,,
,Watched training video,Technical,selection,Yes; No,platform specific,tech-training,,
,Identify project client,Technical,free form,,platform specific,tech-client,,
,Static IP for scraping,Technical,free form,,platform specific,tech-client-ip,,
,Product Token,Technical,free form,,platform specific,tech-client-token,,
,Data Requested,Requested Data,free form,,general,data-requested,,
,Does your research require you to have access to data for users who are under the age of 18?,Requested Data,selection,,general,data-requested-U18,,
,Through which modality do you want to access the data?,Requested Data,multi-select,,general,data-accmod,,
,Data Access Start Date,Requested Data,date-select,,general,data-acc-start,before end date,
,Data Access End Date,Requested Data,date-select,,general,data-acc-end,after start date,
,Geographical scope of requested data,Requested Data,free form,,general,data-geoscope,,
,Temporal scope of requested data,Requested Data,free form,,general,data-timescope,,
,Justification for requested data,Requested Data,free form,,general,data-expl,,
,How often is data refreshed?,Requested Data,free form,,general,data-refresh,,
,Have you applied for access with the platform before?,Previous Experience,selection,Yes; No,general,prev-experience,,
,Data Storage Start Date,Data Security,date-select,,general,tom-storage-start,,
,Data Storage End Date,Data Security,free form,,general,tom-storage-end,,
,Data Storage Location,Data Security,free form,,general,tom-storagelocation,,
,Evidence of ensuring purpose limitation,Data Security,free form,,general,tom-purposelimit,,
,Technical and organisational measures,Data Security,free form,,general,tom-general,,
,Who is responsible for compliance with GDPR?,Data Security,free form,,general,tom-responsible,,
,Evidence of technical and organisational measures,Data Security,file upload,,general,tom-evidence,,
,,Legal,selection,,general,legal-dsa,,
,,Legal,selection,,general,legal-consent,,
,,Legal,selection,,general,legal-agreement,,
,Institutional signatory name,Legal,free form,,general,legal-authority-name,,
,Institutional signatory title,Legal,free form,,general,legal-authority-title,,
,Institutional signatory email,Legal,free form,,general,legal-authority-email,validate,
,,Legal,file upload,,general,legal-docs,,
,,?,file upload,,general,more-docs,,
